0,District Operated Schools - Operational Support
1,Debt Service
2,Facilities -- Custodians and Building Engineers
3,Facilities -- Maintenance and Repair Services
4,Transportation -- Special Education Services
5,Transportation -- Regular Services
6,Transportation -- Bus Attendants - Special Ed
7,Transportation -- Maintenance
8,Utilities
9,Food Service
10,School Safety - School Police
11,School Safety - Mobile Security
12,Losses and Judgments
13,Insurance and Self Insurance Reserves
14,Postal Services
15,Capital Programs Support Services
16,Space Rental
